Mr beast you again challenge the zalmi on astola island in 100 hours,0
I love u mrbeast[e][e][e][e],1
the like.......,1
I am from Bangladesh[e],1
I want in show,1
Mrbeast give me some money plssssssss[e][e][e][e][e][e],1
Give me one chance,1
Your challenge accepted Mr.Beast,1
darius have a lot of chans his black for africa,0
Yeah,1
Day 10 of asking to be in a video,1
Yes but dont make it too dangerous,1
Help me please,1
its like moana but better,0
Anybody wanna talk,1
Insane...,1
Superfr,1
Halo,1
Need i phone,1
If it weren't for Darius we would never have seen Mr. Beast again.,0
Miss the videos like this I feel like jimmy has gotten too focused on the giving money away rather than just doing challenges with the boys like the good ole times looking forward to more of these,0
Please 10k subscribers complete Mr beast fan[e][e][e],1
Safelyest lighting a fire [e],0
Videos never disappointing [e] Also Enhypen is 7 [e],0
bros getting these ideas from rblx[e] I swear next video gonna be surviving 99 nights in a forest [e],0
Lesson of this video: throw trash in the ocean because it might help mrbeast [e][e][e],0
[e][e][e],1
W Darious,0
Whose missing karl[e],0
if you pin me i will sub your all chanel,1
From Bangladesh [e][e],1
How can I join the next challenge please [e],1
So the plan was to rely on the possibility of finding barrels in the trash which might have ended up on the island? hmm,0
OP!!!,1
Are you going,1
u do a lot more and to melt plastic it needs to go strait to the fire,0
Hi Mr beast 2026,1
lDoNT NO,1
Mrbeast pls 1000$,1
bro whats goingon your views are hnnnnn,1
Mr beast you have 150M subscriber I have subscribed you please give me I phone please my dreams complete I am form India Up Mathura banana awa khera[e],1
Yes!!!,1
Bro more videos want,1
WHY DID THEY NEED A SAIL?,0
I Lived in pakistand But i watched mr beast vlog bcz Mr beast is best vlogger and youtuber [e],1
Hello i am from Greece and i think its a very good idea to do a chalenge/ Survival n Creta. Its verry beautiful we are waiting you [e][e] Ps: maybe I could help ( I am 12 years old) I have special abilites and I could help you see the place [e][e],1
Camera man and that other person that came as a guide i forgot his name they literally carried mr beast and his team,0
[e] Don't warry but [e],1
Find myself,1
I want to join,1
Darius deffo got a raise after this,1
Come in India and meet me,1
yes,1
Do my challeng stay for 24 hour on the most dangerous island plssssss,1
i hope to see DARRIUS in the next video,0
Why do I feel defeated and want to cry? Darius really did his absolute best Better luck next time guys [e],0
this video totally screpted,0
Yes go with boys and adventure and videos,0
