So much failure,0
These guys are clueless. The Iranian regime doesnt care about their civilians lives. They will never surrender. The only way out for Trump now to justify this war is to either blame someone else for it (a scapegoat) make it seem like they got a huge deal or just completely obliterate Iran (which he wont).,0
U.s. do know Iran have allies and Iran get all that gear and tech back. Construction just rebuild all those destroyed buildings back and rebuild military nothing changed,1
Iran said "NO MORE TALKING!",0
Alot of these strikes are same videos[e],0
Wouldnt be the first time the big I lied about a strike on themselves.,0
So much for no more wars. I say we let Israel fight this war all by themselves.,0
2 planes coming from NY into Israel right now looking at the flight radars,0
Israel and the US are losing this war. And when its done israel abd the US will only have each other as allies. The world hates the US and israel.,0
Now imagine how the citizens of Gaza Beirut and Tehran feel. I don't support Islamic fascism in any form but that doesn't close my eyes to the suffering of fellow human beings whatever their religion politics or nationality,0
Wondering how the Media knows the exact size of the bomb. Are they working with them?,0
200 lb? Should be a 3000lb one. Make it rain on em,0
Iran can keep this going.,0
Maybe the US wants to make a deal.,0
Now I understand why MAGA is always wrong.  But for those of us who know Trump is a psychopath and can recognize his lies the good news is these lies can be traded for profit.  The last week has allowed me to trade oil for good profits.  Strategy?  When he lies and oil goes down go long oil or trade options.   Fox News will make you broke and more stupid than you already are.  Sorry but Trump cant help your failures in life.  You own those.,0
It's taco tuesday fox news.,1
March 28th.  Stop the lies and stop child rapists trump,0
All I can say is keep an eye on them because I pray they aren't trying to buy time to receive some type of terrible weapon from another country or some other craziness because they are radical to the max. And they refuse to give up no matter what they are always looking toward their goal. But I'm praying about it. All I know is that they are liars. And the only thing that could change them is if Jesus Christ were to actually make himself known to them to the point that they fear and repent. Then they would actually be changed. But otherwise they will not change.,0
Something  stinks they would have stopped  firing for 5 days,0
Hamburger Hill. (937) Bombed and Bombed it even with Napalm only booths/close combat could do a temporary job.,0
How do you make a deal with liars? Lying seems to be their specialty.,0
Texas refineries [e][e][e][e],0
Pledge allegiance to your Epstein president,0
They dont make deals!,0
God bless these Israelis. Many arrogant Americans have no clue how lucky they are to live in America. And I have no clue that sometimes we have to fight for our freedom because they have grown up in a pampered world.,0
Finish the job!,0
they know what US 'talks' mean....,0
TACO,1
The Regime in Iran must be eliminated,0
I see,1
Fox News says Iran is on Borrowed time. Reality says Trump and his Master are the ones on borrowed time and it is coming to an end soon.,0
It's called gazanization!,0
Iran just send 100.000 ellite troops to gaza[e] Iran Will win..,0
Keep on dreaming. Iran is not interested in any deal. No more deal just keep on! If you so much needed that deal then the conditions are simple: pack all stuff and leave the GCC and then pay the damages you did to Iran.,0
As the world sees it the USA is the one that wants to hold the world hostage. The Epstein class wants to hold the word hostage. Trump = Child Rapist.,0
Anyone that believes this crap about negotiations on Fox News. I have a bridge to sell you in Brooklyn. These idiots love war so much let them send their own kids. I bet they will have bone spurs too.,0
